cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
10174,greening,982125.0,3340.555606842041,0.0,920,540,80.19987,13.09961
12925,greening,860625.0,3332.2374420166016,0.0,1170,550,80.20285,13.0318
12949,greening,810000.0,3329.20578622818,0.0,1170,790,80.26925,13.032
10532,greening,1012500.0,3319.5094680786133,0.0,950,820,80.27738,13.0917
12805,greening,992250.0,3318.466859817505,0.0,1160,450,80.17518,13.03443
13701,greening,556875.0000000001,3314.5057797431946,0.0,1240,610,80.21951,13.01287
12619,greening,951750.0,3313.4435243606567,0.0,1140,790,80.26923,13.04014
14915,greening,921374.9999999999,3310.224518299103,0.0,1350,650,80.23067,12.98306
14593,greening,678374.9999999999,3307.3106756210327,0.0,1320,730,80.25277,12.99126
13062,greening,992250.0,3302.871286392212,0.0,1180,820,80.27756,13.02931
10838,greening,941625.0000000001,3286.379783630371,0.0,980,580,80.21099,13.08337
14358,greening,992250.0,3279.0361976623535,0.0,1300,580,80.21127,12.99657
12731,greening,972000.0,3276.6275730133057,0.0,1150,810,80.27477,13.03744
13369,greening,901125.0,3270.295795440674,0.0,1210,590,80.21395,13.02099
14591,greening,607500.0000000001,3268.61222076416,0.0,1320,710,80.24724,12.99125
12718,greening,941625.0000000001,3266.9496665000916,0.0,1150,680,80.2388,13.03734
10206,greening,1002375.0,3263.7564792633057,0.0,920,860,80.28842,13.09987
10963,greening,880875.0,3259.8934392929077,0.0,990,730,80.25251,13.08078
12603,greening,1002375.0,3258.336446762085,0.0,1140,630,80.22496,13.04001
11829,greening,1012500.0,3257.356653213501,133.84713745117188,1070,590,80.21383,13.05896
9322,greening,911250.0,3256.3681993484497,23.962688446044922,840,820,80.27729,13.12154
14026,greening,1002375.0,3252.119415283203,0.0,1270,560,80.20571,13.00469
10317,greening,921374.9999999999,3247.3316230773926,0.0,930,870,80.2912,13.09716
10207,greening,1012500.0,3241.716866493225,0.0,920,870,80.29119,13.09988
10502,greening,749250.0,3241.008726119995,0.0,950,520,80.19436,13.09145
14705,greening,951750.0,3240.8798775672913,0.0,1330,750,80.25831,12.98857
10534,greening,1012500.0,3240.301513671875,276.47815895080566,950,840,80.28291,13.09172
12918,greening,911250.0,3237.495972633362,0.0,1170,480,80.18349,13.03174
12282,greening,708750.0,3237.157403945923,0.0,1110,720,80.24984,13.04822
13262,greening,891000.0,3235.0873432159424,0.0,1200,620,80.22225,13.02372
11399,greening,688500.0000000001,3233.49591255188,0.0,1030,690,80.24147,13.0699
13586,greening,769500.0,3232.072332382202,0.0,1230,560,80.20567,13.01554
10084,greening,931500.0,3229.754810333252,0.0,910,740,80.25521,13.10249
11598,greening,1012500.0,3225.4760208129883,0.0,1050,480,80.18338,13.06429
11707,greening,1012500.0,3225.190097808838,0.0,1060,470,80.18062,13.06157
14379,greening,941625.0000000001,3218.4008350372314,0.0,1300,790,80.26936,12.99674
9879,greening,1002375.0,3217.0523758232594,0.0,890,890,80.2967,13.10803
10175,greening,891000.0,3214.6180362701416,0.0,920,550,80.20264,13.09962
11048,greening,1002375.0,3212.24493932724,0.0,1000,480,80.18334,13.07786
13277,greening,840375.0000000001,3207.863423347473,0.0,1200,770,80.26374,13.02385
9844,greening,951750.0,3206.928237915039,0.0,890,540,80.19984,13.10775
16218,greening,911250.0,3199.8817958831787,814.260217666626,1470,480,80.18375,12.95037
13060,greening,941625.0000000001,3198.757894515991,0.0,1180,800,80.27203,13.02929
10188,greening,860625.0,3195.1620302200317,106.49798965454102,920,680,80.23861,13.09973
12049,greening,982125.0,3190.645257949829,0.0,1090,590,80.21385,13.05354
10630,greening,921374.9999999999,3189.494423866272,0.0,960,700,80.24418,13.08889
11386,greening,789750.0,3188.886794090271,401.2441463470459,1030,560,80.2055,13.06979
12176,greening,1002375.0,3187.1778774261475,0.0,1100,760,80.2609,13.05096
14267,greening,870750.0,3182.552619934082,0.0,1290,770,80.26381,12.99943
12590,greening,972000.0,3181.0956993103027,0.0,1140,500,80.18899,13.0399
